交易时间,金额,付款方,收款方,方向,渠道,备注
2026-03-30 23:00:00,100,A账户,收款01,支出,微信转账,夜间样例1
2026-03-30 23:05:00,100,A账户,收款02,支出,微信转账,夜间样例2
2026-03-30 23:10:00,100,A账户,收款03,支出,微信转账,夜间样例3
2026-03-30 23:15:00,100,A账户,收款04,支出,微信转账,夜间样例4
2026-03-30 23:20:00,100,A账户,收款05,支出,微信转账,夜间样例5
2026-03-30 23:25:00,100,A账户,收款06,支出,微信转账,夜间样例6
2026-03-30 23:30:00,100,A账户,收款07,支出,微信转账,夜间样例7
2026-03-30 23:35:00,100,A账户,收款08,支出,微信转账,夜间样例8
2026-03-30 23:40:00,100,A账户,收款09,支出,微信转账,夜间样例9
2026-03-30 23:45:00,100,A账户,收款10,支出,微信转账,夜间样例10
2026-03-30 23:50:00,100,A账户,收款11,支出,微信转账,夜间样例11
2026-03-30 23:55:00,100,A账户,收款12,支出,微信转账,夜间样例12
