bucket,score,workbook_path,row_index,transaction_id,amount,counterparty,remark,label_status
A. 高优先复核,0.9879,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,219,-,200.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
A. 高优先复核,0.9877,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,173,2026013060235350978768410311401,100.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
A. 高优先复核,0.9865,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,234,2026012372235565574347410300407,400.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
A. 高优先复核,0.9864,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,221,-,200.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
A. 高优先复核,0.9858,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,208,-,200.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
A. 高优先复核,0.9857,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,413,-,100.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
A. 高优先复核,0.9853,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,160,-,200.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9843,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,159,-,200.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9841,/home/doudougou/下载/3.29/A68853039陆平枝.xlsx,101,-,100.00,085e9858ec4596cec51dc01f8@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9839,/home/doudougou/下载/3.29/LoeQ__-413（微信流水）.xlsx,845,2025091990165078418054510110601,400.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
B. 混合样本/次优先复核,0.9835,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,222,-,150.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9829,/home/doudougou/下载/3.29/A68853039陆平枝.xlsx,99,-,100.00,085e9858ec4596cec51dc01f8@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9827,/home/doudougou/下载/3.29/LoeQ__-413（微信流水）.xlsx,770,2025092572205008555637410300004,400.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
B. 混合样本/次优先复核,0.9822,/home/doudougou/下载/3.29/wxid_4ry9iy64yip312.xlsx,44,-,400.00,085e9858eced1e93bf232c870@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9821,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,149,-,200.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9805,/home/doudougou/下载/3.29/A68853039陆平枝.xlsx,102,2025042058235874955742210100001,120.00,085e9858ec4596cec51dc01f8@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
B. 混合样本/次优先复核,0.9804,/home/doudougou/下载/3.29/wxid_4ry9iy64yip312.xlsx,71,2025111659155452405101410201208,400.00,085e9858eced1e93bf232c870@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
B. 混合样本/次优先复核,0.9794,/home/doudougou/下载/3.29/LoeQ__-413 (1).xlsx,223,-,200.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9792,/home/doudougou/下载/3.29/A68853039陆平枝.xlsx,103,2025042058235859114052210101108,120.00,085e9858ec4596cec51dc01f8@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
B. 混合样本/次优先复核,0.9789,/home/doudougou/下载/3.29/A68853039陆平枝.xlsx,104,-,150.00,085e9858ec4596cec51dc01f8@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9789,/home/doudougou/下载/3.29/LoeQ__-413（微信流水）.xlsx,843,2025092069225838309592610110408,400.00,085e9858e587e892fdd7b8122@wx.tenpay.com,备注：微信转账##网银联单号类型：网联,unlabeled
B. 混合样本/次优先复核,0.9787,/home/doudougou/下载/3.29/wxid_4ry9iy64yip312.xlsx,158,-,100.00,085e9858eced1e93bf232c870@wx.tenpay.com,备注：微信转账,unlabeled
B. 混合样本/次优先复核,0.9775,/home/doudougou/下载/3.29/A68853039陆平枝.xlsx,113,-,200.00,085e9858ec4596cec51dc01f8@wx.tenpay.com,备注：微信转账,unlabeled
